userCount,delayMicros,oneStream (ms),parallelStreams (ms),customSpliterator (ms),expectedDelayMs,observedDelay_oneStream (ms),overhead_oneStream (ms)
3000,0,0.009,0.018,0.017,0.0,0.0,0.0
5000,0,0.026,0.020,0.021,0.0,0.0,0.0
50000,0,0.294,0.086,0.090,0.0,0.0,0.0
250000,0,6.046,1.160,1.342,0.0,0.0,0.0
3000,2,6.033,0.635,0.636,6.0,6.024,0.024
5000,2,10.066,1.033,1.033,10.0,10.040,0.040
50000,2,104.639,9.972,9.951,100.0,104.345,4.345
250000,2,533.896,51.628,51.599,500.0,527.850,27.850
